종목코드,종목명,테마명,섹터,산업군,업종명,시장구분,기준일
095570,AJ네트웍스,,산업재,상업서비스,일반서비스,KOSPI,20250407
006840,AK홀딩스,"['페인트', '지주사', '밸류업(24년 기업가치 제고계획 발표)', '항공/저가 항공사(LCC)']",금융,기타금융,기타금융,KOSPI,20250407
027410,BGF,['지주사'],금융,기타금융,기타금융,KOSPI,20250407
282330,BGF리테일,"['소매유통', '편의점', '코리아 밸류업 지수(Korea Value-up Index)']",경기소비재,유통,유통,KOSPI,20250407
138930,BNK금융지주,"['지주사', '밸류업(24년 기업가치 제고계획 발표)', '은행']",금융,기타금융,기타금융,KOSPI,20250407
001460,BYC,"['日제품 불매운동(수혜)', '패션/의류']",경기소비재,내구소비재및의류,섬유·의류,KOSPI,20250407
001465,BYC우,,경기소비재,내구소비재및의류,섬유·의류,KOSPI,20250407
001040,CJ,['지주사'],금융,기타금융,기타금융,KOSPI,20250407
079160,CJ CGV,['영화'],경기소비재,미디어,오락·문화,KOSPI,20250407
00104K,CJ4우(전환),,금융,기타금융,기타금융,KOSPI,20250407
000120,CJ대한통운,['종합 물류'],산업재,운송,운송·창고,KOSPI,20250407
011150,CJ씨푸드,"['수산', '구제역/광우병 수혜']",필수소비재,음식료및담배,음식료·담배,KOSPI,20250407
011155,CJ씨푸드1우,,필수소비재,음식료및담배,음식료·담배,KOSPI,20250407
001045,CJ우,,금융,기타금융,기타금융,KOSPI,20250407
097950,CJ제일제당,"['사료', '음식료업종', '환율하락 수혜']",필수소비재,음식료및담배,음식료·담배,KOSPI,20250407
097955,CJ제일제당 우,,필수소비재,음식료및담배,음식료·담배,KOSPI,20250407
000480,CR홀딩스,['지주사'],소재,건축소재,비금속,KOSPI,20250407
000590,CS홀딩스,['지주사'],금융,기타금융,기타금융,KOSPI,20250407
012030,DB,"['SI(시스템통합)', '교육/온라인 교육', '지주사', '클라우드 컴퓨팅']",IT,소프트웨어,IT 서비스,KOSPI,20250407
016610,DB금융투자,"['증권', '밸류업(24년 기업가치 제고계획 발표)']",금융,증권,증권,KOSPI,20250407
005830,DB손해보험,"['밸류업(25년 기업가치 제고계획 발표)', '코리아 밸류업 지수(Korea Value-up Index)', '손해보험']",금융,보험,보험,KOSPI,20250407
000990,DB하이텍,"['반도체 대표주(생산)', '시스템반도체', '밸류업(24년 기업가치 제고계획 발표)', '코리아 밸류업 지수(Korea Value-up Index)', '스마트카(SMART CAR)']",IT,하드웨어,전기·전자,KOSPI,20250407
139130,DGB금융지주,"['지주사', '밸류업(24년 기업가치 제고계획 발표)', '은행']",금융,기타금융,기타금융,KOSPI,20250407
000300,DH오토넥스,,IT,하드웨어,전기·전자,KOSPI,20250407
001530,DI동일,"['여름', '비철금속', '밸류업(25년 기업가치 제고계획 발표)', '2차전지(소재/부품)', '2차전지']",경기소비재,유통,유통,KOSPI,20250407
000210,DL,['지주사'],소재,소재,화학,KOSPI,20250407
000215,DL우,,소재,소재,화학,KOSPI,20250407
375500,DL이앤씨,"['GTX(수도권 광역급행철도)', '원자력발전', '건설 대표주']",산업재,자본재,건설,KOSPI,20250407
37550L,DL이앤씨2우(전환),,산업재,자본재,건설,KOSPI,20250407
37550K,DL이앤씨우,,산업재,자본재,건설,KOSPI,20250407
007340,DN오토모티브,['자동차부품'],IT,하드웨어,전기·전자,KOSPI,20250407
004840,DRB동일,['지주사'],소재,소재,화학,KOSPI,20250407
155660,DSR,,소재,금속및광물,금속,KOSPI,20250407
069730,DSR제강,['철강 중소형'],소재,금속및광물,금속,KOSPI,20250407
017860,DS단석,['폐배터리'],소재,소재,화학,KOSPI,20250407
017940,E1,"['셰일가스(Shale Gas)', 'LPG(액화석유가스)']",경기소비재,유통,유통,KOSPI,20250407
365550,ESR켄달스퀘어리츠,"['쿠팡(coupang)', '리츠(REITs)']",금융,부동산,부동산,KOSPI,20250407
383220,F&F,"['패션/의류', '코리아 밸류업 지수(Korea Value-up Index)']",경기소비재,내구소비재및의류,섬유·의류,KOSPI,20250407
007700,F&F홀딩스,['지주사'],금융,기타금융,기타금융,KOSPI,20250407
114090,GKL,['카지노'],경기소비재,미디어,오락·문화,KOSPI,20250407
078930,GS,"['LNG(액화천연가스)', 'UAM(도심항공모빌리티)', '냉각시스템(액침냉각 등)', 'LPG(액화석유가스)', '자원개발', '윤활유', '지주사', '정유']",금융,기타금융,기타금융,KOSPI,20250407
006360,GS건설,"['GTX(수도권 광역급행철도)', '원자력발전', '수자원(양적/질적 개선)', '건설 대표주', '모듈러주택']",산업재,자본재,건설,KOSPI,20250407
001250,GS글로벌,"['자원개발', '종합상사']",경기소비재,유통,유통,KOSPI,20250407
007070,GS리테일,"['소매유통', '인터넷은행', '편의점', '홈쇼핑']",경기소비재,유통,유통,KOSPI,20250407
078935,GS우,,금융,기타금융,기타금융,KOSPI,20250407
499790,GS피앤엘,['지주사'],금융,기타금융,기타금융,KOSPI,20250407
012630,HDC,"['지주사', '면세점']",금융,기타금융,기타금융,KOSPI,20250407
039570,HDC랩스,"['철도', '스마트홈(홈네트워크)', '사물인터넷']",산업재,자본재,건설,KOSPI,20250407
089470,HDC현대EP,"['재난/안전(지진/화재 등)', '자동차부품']",소재,소재,화학,KOSPI,20250407
294870,HDC현대산업개발,"['GTX(수도권 광역급행철도)', '건설 대표주']",산업재,자본재,건설,KOSPI,20250407
009540,HD한국조선해양,"['조선', '선박평형수 처리장치', 'LNG(액화천연가스)', '방위산업/전쟁 및 테러', '지주사', '밸류업(24년 기업가치 제고계획 발표)']",금융,기타금융,기타금융,KOSPI,20250407
267250,HD현대,"['지주사', '밸류업(24년 기업가치 제고계획 발표)']",금융,기타금융,기타금융,KOSPI,20250407
267270,HD현대건설기계,"['건설기계', '우크라이나 재건', '밸류업(24년 기업가치 제고계획 발표)']",산업재,자본재,기계·장비,KOSPI,20250407
443060,HD현대마린솔루션,"['조선기자재', '밸류업(24년 기업가치 제고계획 발표)']",산업재,상업서비스,일반서비스,KOSPI,20250407
071970,HD현대마린엔진,['조선기자재'],산업재,자본재,기계·장비,KOSPI,20250407
010620,HD현대미포,"['조선', 'LNG(액화천연가스)', '밸류업(24년 기업가치 제고계획 발표)']",산업재,자본재,운송장비·부품,KOSPI,20250407
322000,HD현대에너지솔루션,"['태양광에너지', '전력저장장치(ESS)']",IT,하드웨어,전기·전자,KOSPI,20250407
042670,HD현대인프라코어,"['LNG(액화천연가스)', '건설기계', '우크라이나 재건', '밸류업(24년 기업가치 제고계획 발표)', '코리아 밸류업 지수(Korea Value-up Index)']",산업재,자본재,기계·장비,KOSPI,20250407
267260,HD현대일렉트릭,"['전력설비', '밸류업(24년 기업가치 제고계획 발표)', '코리아 밸류업 지수(Korea Value-up Index)']",IT,하드웨어,전기·전자,KOSPI,20250407
329180,HD현대중공업,"['조선', '밸류업(24년 기업가치 제고계획 발표)']",산업재,자본재,운송장비·부품,KOSPI,20250407
097230,HJ중공업,"['조선', 'LNG(액화천연가스)', '방위산업/전쟁 및 테러', 'GTX(수도권 광역급행철도)']",산업재,자본재,건설,KOSPI,20250407
014790,HL D&I,"['건설 중소형', 'GTX(수도권 광역급행철도)']",산업재,자본재,건설,KOSPI,20250407
003580,HLB글로벌,['화장품'],경기소비재,유통,유통,KOSPI,20250407
204320,HL만도,"['자동차부품', '리비안(RIVIAN)', '전기차', '자율주행차', '스마트카(SMART CAR)', '자동차 대표주']",산업재,자본재,운송장비·부품,KOSPI,20250407
060980,HL홀딩스,"['자동차부품', '지주사', '밸류업(24년 기업가치 제고계획 발표)']",금융,기타금융,기타금융,KOSPI,20250407
011200,HMM,"['밸류업(25년 기업가치 제고계획 발표)', '코리아 밸류업 지수(Korea Value-up Index)', '해운']",산업재,운송,운송·창고,KOSPI,20250407
035000,HS애드,['광고'],산업재,상업서비스,일반서비스,KOSPI,20250407
002460,HS화성,['건설 중소형'],산업재,자본재,건설,KOSPI,20250407
487570,HS효성,['지주사'],금융,기타금융,기타금융,KOSPI,20250407
298050,HS효성첨단소재,"['자동차부품', '수소차(연료전지/부품/충전소 등)', '코리아 밸류업 지수(Korea Value-up Index)', '타이어']",소재,소재,화학,KOSPI,20250407
003560,IHQ,,경기소비재,미디어,오락·문화,KOSPI,20250407
175330,JB금융지주,"['지주사', '밸류업(24년 기업가치 제고계획 발표)', '밸류업(25년 기업가치 제고계획 발표)', '은행']",금융,기타금융,기타금융,KOSPI,20250407
234080,JW생명과학,['제약업체'],의료,제약및바이오,제약,KOSPI,20250407
