종목코드,종목명,업종명,테마명,기준일,raw테마명
095570,AJ네트웍스,일반서비스,,20250510,
006840,AK홀딩스,기타금융,기타 산업,20250510,지주사
006840,AK홀딩스,기타금융,기타 산업,20250510,페인트
006840,AK홀딩스,기타금융,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
006840,AK홀딩스,기타금융,여행/레저,20250510,항공/저가 항공사(LCC)
027410,BGF,기타금융,기타 산업,20250510,지주사
282330,BGF리테일,유통,정부정책,20250510,밸류업(25년 기업가치 제고계획 발표)
282330,BGF리테일,유통,정부정책,20250510,코리아 밸류업 지수(Korea Value-up Index)
282330,BGF리테일,유통,소비재/유통,20250510,소매유통
282330,BGF리테일,유통,소비재/유통,20250510,편의점
138930,BNK금융지주,기타금융,기타 산업,20250510,지주사
138930,BNK금융지주,기타금융,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
138930,BNK금융지주,기타금융,금융/핀테크,20250510,은행
001460,BYC,섬유·의류,국제이슈,20250510,日제품 불매운동(수혜)
001460,BYC,섬유·의류,소비재/유통,20250510,패션/의류
001465,BYC우,섬유·의류,,20250510,
001040,CJ,기타금융,기타 산업,20250510,지주사
079160,CJ CGV,오락·문화,게임/엔터,20250510,영화
00104K,CJ4우(전환),기타금융,,20250510,
000120,CJ대한통운,운송·창고,기타 산업,20250510,종합 물류
011150,CJ씨푸드,음식료·담배,농업/식량,20250510,수산
011150,CJ씨푸드,음식료·담배,바이오/제약,20250510,구제역/광우병 수혜
011155,CJ씨푸드1우,음식료·담배,,20250510,
001045,CJ우,기타금융,,20250510,
097950,CJ제일제당,음식료·담배,소비재/유통,20250510,음식료업종
097950,CJ제일제당,음식료·담배,기타 산업,20250510,환율하락 수혜
097950,CJ제일제당,음식료·담배,소비재/유통,20250510,사료
097955,CJ제일제당 우,음식료·담배,,20250510,
000480,CR홀딩스,비금속,기타 산업,20250510,지주사
000590,CS홀딩스,기타금융,기타 산업,20250510,지주사
012030,DB,IT 서비스,기타 산업,20250510,지주사
012030,DB,IT 서비스,IT/통신,20250510,클라우드 컴퓨팅
012030,DB,IT 서비스,건축/기계,20250510,SI(시스템통합)
012030,DB,IT 서비스,교육,20250510,교육/온라인 교육
005830,DB손해보험,보험,정부정책,20250510,밸류업(25년 기업가치 제고계획 발표)
005830,DB손해보험,보험,정부정책,20250510,코리아 밸류업 지수(Korea Value-up Index)
005830,DB손해보험,보험,보험/증권,20250510,손해보험
016610,DB증권,증권,보험/증권,20250510,증권
016610,DB증권,증권,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
000990,DB하이텍,전기·전자,정부정책,20250510,코리아 밸류업 지수(Korea Value-up Index)
000990,DB하이텍,전기·전자,반도체,20250510,반도체 대표주(생산)
000990,DB하이텍,전기·전자,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
000990,DB하이텍,전기·전자,스마트도시,20250510,스마트카(SMART CAR)
000990,DB하이텍,전기·전자,반도체,20250510,시스템반도체
000300,DH오토넥스,운송장비·부품,,20250510,
001530,DI동일,유통,소재/금속,20250510,비철금속
001530,DI동일,유통,환경/기후,20250510,여름
001530,DI동일,유통,정부정책,20250510,밸류업(25년 기업가치 제고계획 발표)
001530,DI동일,유통,2차전지,20250510,2차전지(소재/부품)
001530,DI동일,유통,2차전지,20250510,2차전지
000210,DL,화학,기타 산업,20250510,지주사
000215,DL우,화학,,20250510,
375500,DL이앤씨,건설,건설/인프라,20250510,GTX(수도권 광역급행철도)
375500,DL이앤씨,건설,원자력/에너지,20250510,원자력발전
375500,DL이앤씨,건설,건설/인프라,20250510,건설 대표주
37550L,DL이앤씨2우(전환),건설,,20250510,
37550K,DL이앤씨우,건설,,20250510,
007340,DN오토모티브,전기·전자,자동차/부품,20250510,자동차부품
004840,DRB동일,화학,기타 산업,20250510,지주사
155660,DSR,금속,,20250510,
069730,DSR제강,금속,건설/인프라,20250510,철강 중소형
017860,DS단석,화학,2차전지,20250510,폐배터리
092780,DYP,운송장비·부품,전기차/자율주행,20250510,수소차(연료전지/부품/충전소 등)
092780,DYP,운송장비·부품,자동차/부품,20250510,자동차부품
017940,E1,유통,원자력/에너지,20250510,LPG(액화석유가스)
017940,E1,유통,원자력/에너지,20250510,셰일가스(Shale Gas)
365550,ESR켄달스퀘어리츠,부동산,원자력/에너지,20250510,리츠(REITs)
365550,ESR켄달스퀘어리츠,부동산,플랫폼/인터넷,20250510,쿠팡(coupang)
383220,F&F,섬유·의류,정부정책,20250510,밸류업(25년 기업가치 제고계획 발표)
383220,F&F,섬유·의류,소비재/유통,20250510,패션/의류
383220,F&F,섬유·의류,정부정책,20250510,코리아 밸류업 지수(Korea Value-up Index)
007700,F&F홀딩스,기타금융,기타 산업,20250510,지주사
114090,GKL,오락·문화,여행/레저,20250510,카지노
078930,GS,기타금융,원자력/에너지,20250510,LNG(액화천연가스)
078930,GS,기타금융,기타 산업,20250510,지주사
078930,GS,기타금융,스마트도시,20250510,UAM(도심항공모빌리티)
078930,GS,기타금융,원자력/에너지,20250510,LPG(액화석유가스)
078930,GS,기타금융,기타 산업,20250510,윤활유
078930,GS,기타금융,기타 산업,20250510,자원개발
078930,GS,기타금융,IT/통신,20250510,냉각시스템(액침냉각 등)
078930,GS,기타금융,원자력/에너지,20250510,정유
006360,GS건설,건설,건설/인프라,20250510,모듈러주택
006360,GS건설,건설,건설/인프라,20250510,GTX(수도권 광역급행철도)
006360,GS건설,건설,원자력/에너지,20250510,원자력발전
006360,GS건설,건설,탄소/친환경,20250510,수자원(양적/질적 개선)
006360,GS건설,건설,건설/인프라,20250510,건설 대표주
001250,GS글로벌,유통,기타 산업,20250510,종합상사
001250,GS글로벌,유통,기타 산업,20250510,자원개발
007070,GS리테일,유통,소비재/유통,20250510,홈쇼핑
007070,GS리테일,유통,금융/핀테크,20250510,인터넷은행
007070,GS리테일,유통,소비재/유통,20250510,소매유통
007070,GS리테일,유통,소비재/유통,20250510,편의점
078935,GS우,기타금융,,20250510,
499790,GS피앤엘,기타금융,기타 산업,20250510,지주사
012630,HDC,기타금융,기타 산업,20250510,지주사
012630,HDC,기타금융,플랫폼/인터넷,20250510,면세점
039570,HDC랩스,건설,디지털산업,20250510,스마트홈(홈네트워크)
039570,HDC랩스,건설,디지털산업,20250510,사물인터넷
039570,HDC랩스,건설,건설/인프라,20250510,철도
089470,HDC현대EP,화학,환경/기후,20250510,재난/안전(지진/화재 등)
089470,HDC현대EP,화학,자동차/부품,20250510,자동차부품
294870,HDC현대산업개발,건설,건설/인프라,20250510,GTX(수도권 광역급행철도)
294870,HDC현대산업개발,건설,건설/인프라,20250510,건설 대표주
009540,HD한국조선해양,기타금융,원자력/에너지,20250510,LNG(액화천연가스)
009540,HD한국조선해양,기타금융,조선/해운,20250510,선박평형수 처리장치
009540,HD한국조선해양,기타금융,기타 산업,20250510,지주사
009540,HD한국조선해양,기타금융,우주/항공,20250510,방위산업/전쟁 및 테러
009540,HD한국조선해양,기타금융,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
009540,HD한국조선해양,기타금융,조선/해운,20250510,조선
267250,HD현대,기타금융,기타 산업,20250510,지주사
267250,HD현대,기타금융,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
267270,HD현대건설기계,기계·장비,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
267270,HD현대건설기계,기계·장비,건설/인프라,20250510,건설기계
267270,HD현대건설기계,기계·장비,국제이슈,20250510,우크라이나 재건
443060,HD현대마린솔루션,일반서비스,조선/해운,20250510,조선기자재
443060,HD현대마린솔루션,일반서비스,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
071970,HD현대마린엔진,기계·장비,조선/해운,20250510,조선기자재
010620,HD현대미포,운송장비·부품,원자력/에너지,20250510,LNG(액화천연가스)
010620,HD현대미포,운송장비·부품,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
010620,HD현대미포,운송장비·부품,조선/해운,20250510,조선
322000,HD현대에너지솔루션,전기·전자,탄소/친환경,20250510,태양광에너지
322000,HD현대에너지솔루션,전기·전자,탄소/친환경,20250510,전력저장장치(ESS)
042670,HD현대인프라코어,기계·장비,원자력/에너지,20250510,LNG(액화천연가스)
